measured,initial value,Simulated,16,24,32,40,60
90,0.04,0.0402,0.0402,0.0402,0.0403,0.0403,0.2769
91,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2773
92,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.278
93,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2793
94,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2814
95,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2848
96,0.04,0.0401,0.0401,0.0402,0.0402,0.0402,0.2901
97,0.0403,0.0404,0.0405,0.0406,0.0407,0.0407,0.3078
98,0.0403,0.0403,0.0403,0.0404,0.0404,0.0404,0.3078
99,0.0403,0.0403,0.0403,0.0403,0.0403,0.0403,0.3078
100,0.0403,0.0403,0.0403,0.0403,0.0403,0.0403,0.3078
