site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC	C_sugar	C_leaf	C_stem	C_root	cVeg	sigma_l_implied	cSoil	cSoil_init	cSoil_dfrac
amazon_central	tropical_rainforest	6.968767088661014	3.4630468898987847	1.7833443713430883	3.2755118031321944	298.1871065129348	0.37190438553150357							14.49866353055658	15.804395347364089	-0.08261827093722272
congo_basin	tropical_rainforest	7.793721388488112	3.781106175988539	1.6339003014265874	3.6418652067302646	297.4574749117992	0.3267330065537468							12.89719235750601	14.101161218794608	-0.08538083088390622
borneo	tropical_rainforest	6.561912839491006	3.343367524576645	0.9225260942905603	2.991017767464318	299.0861476939885	0.46084202953387854							29.826419991596364	30.519449100173972	-0.02270778565834787
sahel	tropical_savanna_C4	0.0	0.8125746824656984	0.5594372924977581	0.0	300.44114150375617	0.09006012815626942							16.05549598916551	16.50082312592636	-0.026988177096519718
cerrado_brazil	tropical_savanna_C4	4.7133815351166986	2.530353446064995	1.6488152759189685	2.944892843524251	297.8086465199788	0.2720181817355034							15.305518750369608	16.495321565790885	-0.0721297133054242
n_australia_savanna	tropical_savanna_C4	7.008880897939607	3.5799079329452943	1.0198341008249763	3.464334121630681	299.71058603714073	0.3044375897615407							16.385810402708007	17.200646441882874	-0.04737240788757653
sahara	desert	0.0	0.8125762892436195	0.07262875829221697	0.0	296.0542539898815	0.07753496091324989							17.677419696258138	17.7275596783431	-0.0028283634631457036
arabian	desert	0.0	0.8125752609846968	0.10673940426961927	0.0	299.50512702608376	0.07819541301440507							12.979881193956086	13.062023419718827	-0.006288629496616635
mojave_sw_us	desert	0.5057533311632428	0.9432908557619567	0.21388158542058108	0.07089034045981127	280.79522078675643	0.15707521895157478							7.466271144298125	7.618509905211104	-0.019982747651065773
ozark_us	temperate_deciduous_forest	3.7049439466911718	2.067368387543959	0.5509709941168854	1.7929298552961117	282.48725872352475	0.2114049797392999							15.422958319060683	15.833542920946865	-0.025931315810752757
central_europe	temperate_deciduous_forest	4.2034457060575985	2.1761750532967326	0.544223463076867	1.5906031345514355	282.4358264422808	0.37454138308912477							18.657009794112298	19.08705633889742	-0.022530794542096635
ne_china	temperate_deciduous_forest	2.5130902765863357	1.6249911939789938	0.5234001118590856	1.1990873063127627	275.74096140835456	0.16726754962690388							17.39951565134781	17.758916630815044	-0.020237776151480282
us_great_plains	temperate_grassland_C4	3.409370710574956	1.983560926523879	0.5040918848613716	1.829119715089405	282.17713742699135	0.16531531347171147							15.64949775499971	16.037808615074812	-0.024212214361387797
pampas_argentina	temperate_grassland	4.645251879894551	2.423126724402804	0.931667424125148	2.6109669568878227	291.02935231318236	0.19800465438464357							14.425714677088873	15.14825208817394	-0.04769774142121279
california_vaira	mediterranean	2.2897157670038646	1.5356794280837212	0.6574051345343662	0.6940276259577887	280.15628676075744	0.1742652623226268							19.360517277386585	19.873120265589765	-0.025793784838647155
iberia	mediterranean	3.360518137814723	1.900309276110971	0.7528617968119633	1.362161294801485	287.3540806900608	0.1984047399324815							16.88747393932672	17.493435011731542	-0.0346393416729446
central_siberia	boreal_forest	0.7402151002548212	1.0059513971100578	0.32778725060242886	0.4034773640688097	264.6832728828889	0.16751427344703954							31.186437507121845	31.421494962333362	-0.007480785223404987
canada_boreal	boreal_forest	1.40100809298567	1.225428202588423	0.609763401396279	0.7627031179247854	269.5995446137392	0.14764671728987563							23.972943459077094	24.410712195412753	-0.017933468422847758
fennoscandia	boreal_forest	2.0856814754816404	1.4356386430660564	0.5049961763365708	0.858478801172897	275.9096640446148	0.23545846134575785							25.90534067768453	26.283964691988352	-0.014405133271969031
alaska_north_slope	tundra	0.2195642272346155	0.8574372916879083	0.0	0.05761281540057179	262.1980780200228	0.8258564298696087							87.32274311461288	87.32274374513261	-7.220567161955291e-9
