site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC	C_sugar	C_leaf	C_stem	C_root	cVeg	sigma_l_implied
amazon_central	tropical_rainforest	8.161508907738863	4.67243283221229	1.8675062747455047	4.79078410037018	298.1871065129348	0.3781699669509238	0.21320245715484365	0.5094815453317394	5.700169151412889	0.8622767246076332	7.285086918156933	0.07983490088065437
congo_basin	tropical_rainforest	8.710109295327815	4.932705954009436	1.688353782406592	5.156401959562513	297.4574749117992	0.3305171656187453	0.20773835197667453	0.5492813171260076	5.807771398009131	0.9096845421463697	7.474508504785167	0.0992015506537524
borneo	tropical_rainforest	7.435581688067897	4.44951426736254	0.9233763832587227	4.089097929920754	299.0861476939885	0.46105157428703614	0.18954134790400215	0.44963558262441855	5.550061080131177	0.7924709367016785	6.981739089470638	0.08823449660724748
sahel	tropical_savanna_C4	1.201170015375749	1.2007272898360097	0.5525601986339952	0.36580584501845087	300.44114150375617	0.08799000175155726	0.001482605619557813	0.10046123219924487	4.315581743182962	0.40410335777682016	4.82164250088547	0.1722467993049139
cerrado_brazil	tropical_savanna_C4	3.7676020537184556	2.4771226916997064	1.7647254262787329	1.6004035432787944	297.8086465199788	0.26251010131441377	0.11363652206163147	0.2675822270081374	5.134221085093492	0.587361965704364	6.102802158965519	0.24256434367926777
n_australia_savanna	tropical_savanna_C4	4.4176326784940825	2.7645731215688905	1.117168661064902	1.1692023643804517	299.71058603714073	0.28997254251033044	0.12900797722583637	0.3346243431440805	4.389853486413101	0.7435880378084798	5.597098885962777	0.3732019023925398
sahara	desert	0.0	2.2444514335553193e-5	0.0727777429137821	0.0	296.0542539898815	0.07753496091324989	2.3231215565090455e-5	0.08128819710782596	4.687865067158066	0.37095200167994635	5.140134146943131	0.0
arabian	desert	0.0	1.8374489312616434e-5	0.10724352627451073	0.0	299.50512702608376	0.07819541301440507	2.0066108095378386e-5	0.08092276362903723	4.68617737624156	0.3704452610097436	5.137571108864996	0.0
mojave_sw_us	desert	1.0409579196317762	0.6692732533724148	0.17129966988333453	0.16052328321688203	280.79522078675643	0.14890250277746425	0.08083890732665147	0.14004252173726003	4.829465092763706	0.4384752586775062	5.4888232882498675	0.7915637826579551
ozark_us	temperate_deciduous_forest	3.2543467421380763	1.6051314701925918	0.5610844350972785	1.1183950426285147	282.48725872352475	0.20334250511575197	0.16040902971005447	0.31450340561538154	5.135282546877609	0.6425374890022609	6.252733003829702	0.18991454847639822
central_europe	temperate_deciduous_forest	4.940376627037964	1.9639037924202678	0.5728546153802142	1.8297594887756363	282.4358264422808	0.3729607273824504	0.20957092966926322	0.47906743395226575	5.516542535676724	0.8127952535656152	7.018003507463947	0.2159358284358523
ne_china	temperate_deciduous_forest	1.5261021563093728	0.8582453095352112	0.5273546310071209	0.6642443882633307	275.74096140835456	0.16583104160041992	0.14015140967446543	0.17156158309656808	4.866904349102143	0.47608325670284873	5.6547156795997155	0.1427764556521142
us_great_plains	temperate_grassland_C4	2.082355179841042	1.1849427782430386	0.5172877191765326	0.6597372888254851	282.17713742699135	0.1648347807436453	0.13263861782084016	0.2173170483915483	4.9263513870027245	0.5329228428221102	5.809212237454485	0.2321917840031125
pampas_argentina	temperate_grassland	3.1040444695561735	1.8479317305780913	0.9699239803626274	1.0342531282076715	291.02935231318236	0.1928029442661605	0.11713889595108021	0.26795882492290707	5.152221971707706	0.5964504931855806	6.133766952515886	0.27551186613955875
california_vaira	mediterranean	3.832711029091835	1.6784900464033974	0.5845721036612143	1.743962679663701	280.15628676075744	0.14238844108125487	0.16219507980260559	0.3874456616754987	5.383594195197909	0.7186526440647695	6.651867186072755	0.191599307857524
iberia	mediterranean	2.5785918031141195	1.412803914725596	0.7646357708714205	0.7415878111726288	287.3540806900608	0.1967373397820491	0.11887566106731302	0.25227860284517134	5.077833894071502	0.5690572901512202	6.018059854929355	0.29585834664532257
central_siberia	boreal_forest	1.6065361782175351	0.6710177530753005	0.3151509004097907	1.2849828034709336	264.6832728828889	0.1753948750925161	0.14443729828421428	0.2022453927469326	4.93771710147517	0.5045847940771071	5.788998293926077	0.17169445808628975
canada_boreal	boreal_forest	1.3722843032457235	0.6620286501568997	0.6189234820726737	0.7091829639603342	269.5995446137392	0.14634424633095225	0.12681390612413201	0.18724110947320433	4.925446697663773	0.49050952422658756	5.729996574187902	0.18637776055325983
fennoscandia	boreal_forest	2.8349292005877804	1.146530659759592	0.6042763778205495	1.322096371766475	275.9096640446148	0.23473426711800804	0.17008508605234007	0.3035163716820553	5.141645762945845	0.6161958983737067	6.231462058032653	0.16083702571849143
alaska_north_slope	tundra	0.9770658963105195	0.39800894137758347	0.0	0.3993899679566183	262.1980780200228	0.8545923148642709	0.12110466837206911	0.16471002501107687	4.856167822367475	0.46277683496708394	5.6047534063344	0.3615383412503153
