site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC	C_sugar	C_leaf	C_stem	C_root	cVeg	sigma_l_implied
amazon_central	tropical_rainforest	8.161508907738863	3.8062641007193183	1.8675062747455047	4.79078410037018	298.1871065129348	0.3781699669509238	0.1649436790709915	0.5033495381885903	1.2061802413019083	0.5795969018069596	2.454020133065093	0.07887390040427468
congo_basin	tropical_rainforest	8.710109295327815	4.005405176597043	1.688353782406592	5.156401959562513	297.4574749117992	0.3305171656187453	0.16295280490974015	0.5410754601634065	1.3085272114752413	0.6246072495293509	2.6371899227819675	0.09771942296038884
borneo	tropical_rainforest	7.435581688067897	3.5775797865744705	0.9233763832587227	4.089097929920754	299.0861476939885	0.46105157428703614	0.14143494760567124	0.44956175760812384	1.0700829337081958	0.5167374060204236	2.177841405692518	0.08821988854854536
sahel	tropical_savanna_C4	1.201170015375749	1.094000056941053	0.5525601986339952	0.36580584501845087	300.44114150375617	0.08799000175155726	0.02690357960426734	0.09862880417199066	0.10487899597853985	0.14695161748361665	0.3773683521393111	0.16910305089491012
cerrado_brazil	tropical_savanna_C4	3.7676020537184556	2.0825531664837675	1.7647254262787329	1.6004035432787944	297.8086465199788	0.26251010131441377	0.07095308142954182	0.25837834265161935	0.6313009697770623	0.30135130109460617	1.2619766592067292	0.2342204663924987
n_australia_savanna	tropical_savanna_C4	4.4176326784940825	2.200555512522867	1.117168661064902	1.1692023643804517	299.71058603714073	0.28997254251033044	0.08105249351821325	0.35389264976537166	0.293728595833021	0.5215327167586216	1.2502225109870666	0.3946909180920845
sahara	desert	0.0	0.8125655055802692	0.0727777429137821	0.0	296.0542539898815	0.07753496091324989	0.0	0.0	0.0	0.0	0.0	0.0
arabian	desert	0.0	0.8125655421377745	0.10724352627451073	0.0	299.50512702608376	0.07819541301440507	0.0	0.0	0.0	0.0	0.0	0.0
mojave_sw_us	desert	1.0409579196317762	1.0657485029839682	0.17129966988333453	0.16052328321688203	280.79522078675643	0.14890250277746425	0.028214733306163246	0.08862837180747317	0.20232817932853617	0.10070200770350751	0.41986580723019207	0.5009517706991652
ozark_us	temperate_deciduous_forest	3.2543467421380763	1.8437017169982697	0.5610844350972785	1.1183950426285147	282.48725872352475	0.20334250511575197	0.09274516552685431	0.27114687908004925	0.5449847919369555	0.31544182570949564	1.2243121771022276	0.1637329232006544
central_europe	temperate_deciduous_forest	4.940376627037964	2.375273809162836	0.5728546153802142	1.8297594887756363	282.4358264422808	0.3729607273824504	0.1418231533527718	0.4231670505281895	0.8842099421733468	0.4704872157242744	1.9197080576313088	0.1907387756902662
ne_china	temperate_deciduous_forest	1.5261021563093728	1.260436857281157	0.5273546310071209	0.6642443882633307	275.74096140835456	0.16583104160041992	0.059313878194319346	0.12682651994882588	0.258709522482021	0.14561178084986215	0.590470668398786	0.10554603881413858
us_great_plains	temperate_grassland_C4	2.082355179841042	1.4456181116005258	0.5172877191765326	0.6597372888254851	282.17713742699135	0.1648347807436453	0.06426915725648284	0.1779627272312035	0.3501598253167814	0.21083286492573935	0.8031982487471543	0.19014270828760924
pampas_argentina	temperate_grassland	3.1040444695561735	1.8022683754332927	0.9699239803626274	1.0342531282076715	291.02935231318236	0.1928029442661605	0.06943590083551886	0.23813347537883728	0.6030069507856421	0.2870906792328431	1.1976583013246833	0.2448451598968779
california_vaira	mediterranean	3.832711029091835	2.000281620053921	0.5845721036612143	1.743962679663701	280.15628676075744	0.14238844108125487	0.10143755733992446	0.3298421310303963	0.746934881710262	0.37433767240772053	1.5525229156710325	0.16311284954377556
iberia	mediterranean	2.5785918031141195	1.5836299507437424	0.7646357708714205	0.7415878111726288	287.3540806900608	0.1967373397820491	0.06527787876317011	0.21186638178615305	0.4861008943315012	0.24495144211283043	1.008205160078933	0.24846413894025055
central_siberia	boreal_forest	1.6065361782175351	1.2740032312745053	0.3151509004097907	1.2849828034709336	264.6832728828889	0.1753948750925161	0.058884648819504816	0.13807007532568136	0.27361417845111363	0.15125180974180302	0.6218286872242584	0.11721239579085663
canada_boreal	boreal_forest	1.3722843032457235	1.1995098570267198	0.6189234820726737	0.7091829639603342	269.5995446137392	0.14634424633095225	0.04912753354090607	0.12704681429702666	0.27251192793493567	0.14195298107464321	0.590617297134951	0.12646017304955778
fennoscandia	boreal_forest	2.8349292005877804	1.663038997400851	0.6042763778205495	1.322096371766475	275.9096640446148	0.23473426711800804	0.09073377103676847	0.24381847393235023	0.492774813058419	0.26860574163262413	1.095945275955244	0.12920191136718112
alaska_north_slope	tundra	0.9770658963105195	1.0680031911165246	0.0	0.3993899679566183	262.1980780200228	0.8545923148642709	0.034540848119195514	0.09345483447560604	0.1762793789898346	0.10143875083049961	0.4057009198140468	0.20513216795642705
