site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC	C_sugar	C_leaf	C_stem	C_root	cVeg	sigma_l_implied	cSoil	cSoil_init	cSoil_dfrac
amazon_central	tropical_rainforest	7.99516559458033	3.972574912319565	1.849699472189616	4.2969654196569	298.1871065129348	0.3738852492066506	0.16054347983057035	0.49537275165881045	1.1880410349532562	0.5705628263935857	2.414472021995637	0.10571754008402479	15.270262783739147	15.804395347364089	-0.033796456737842005
congo_basin	tropical_rainforest	8.52635518396489	4.245300499284311	1.6518868167600886	4.627207202651015	297.4574749117992	0.3273645876363053	0.15930695539292428	0.5321198977116701	1.2914320989330812	0.6148615997194364	2.597747006730607	0.11299287109055738	13.789402141867235	14.101161218794608	-0.022108752044608066
borneo	tropical_rainforest	7.46987506232953	3.8183144788459704	0.925255083305622	3.9839924530025304	299.0861476939885	0.4608658904937363	0.1392271703276573	0.4482715354415055	1.070297118926904	0.5157139328763027	2.173533581315124	0.11017843976184417	30.560028964524502	30.519449100173972	0.0013296394773488437
sahel	tropical_savanna_C4	0.0	0.0011863140983123435	0.552075293936278	0.0	300.44114150375617	0.08928177580409434	9.385085036059645e-5	0.02179019504475914	0.05057958332541189	0.03327065911629532	0.10573481737495748	0.0	16.15915314675678	16.50082312592636	-0.020706238504716964
cerrado_brazil	tropical_savanna_C4	5.169634254354043	2.5874903564512883	1.7010412792904606	3.054740403426909	297.8086465199788	0.2656813182163934	0.10022617368458517	0.34711623903326316	0.8379966433046243	0.4013678230966828	1.6866983641149762	0.14188020452265632	15.87506983992827	16.495321565790885	-0.03760167532283421
n_australia_savanna	tropical_savanna_C4	7.831373118752752	3.908746346415606	1.0715496375457028	4.523833027672479	299.71058603714073	0.3025209576464859	0.13485437367035916	0.45202208850102527	1.050845641180776	0.5185242704371806	2.156271842406809	0.11950256854145148	17.070475466094454	17.200646441882874	-0.007567795560953999
sahara	desert	0.0	0.0	0.07262875829221697	0.0	296.0542539898815	0.07753496091324989	0.0	0.0	0.0	0.0	0.0	0.0	17.677419696258138	17.7275596783431	-0.0028283634631457036
arabian	desert	0.0	0.0	0.10673940426961927	0.0	299.50512702608376	0.07819541301440507	0.0	0.0	0.0	0.0	0.0	0.0	12.979881193956086	13.062023419718827	-0.006288629496616635
mojave_sw_us	desert	1.624165915160389	0.6001808429574744	0.17062494417458737	0.21714654087793442	280.79522078675643	0.1470411651843866	0.039619451492229035	0.1279156367881433	0.19015577163174233	0.15253370947238376	0.5102103299286652	0.4903373582042315	7.617656721659393	7.618509905211104	-0.00011198824472582912
ozark_us	temperate_deciduous_forest	4.689519580623127	1.891983177105568	0.5394652994112225	2.521523588120264	282.48725872352475	0.2021134557217065	0.1242262278093113	0.3786595997173595	0.8027066884819422	0.4322373876060329	1.737819709114215	0.08795324414324836	15.95267983138371	15.833542920946865	0.007524336848150005
central_europe	temperate_deciduous_forest	5.146260796229305	1.7983703503769044	0.5505211804430854	2.22981668001423	282.4358264422808	0.3731591717614626	0.1548880763315839	0.4484543224436922	0.8753324714188707	0.5094991367673961	1.98819735670534	0.10460160976010727	19.186167886774175	19.08705633889742	0.00519260519364514
ne_china	temperate_deciduous_forest	3.1638127543311887	1.2386274203786938	0.5124607236994333	1.6609841140180654	275.74096140835456	0.1635748448775123	0.09827961848059223	0.2783444245333821	0.5283820885599789	0.33151633879355924	1.2365363710053894	0.09575056139270663	17.799973190338786	17.758916630815044	0.0023118842425613618
us_great_plains	temperate_grassland_C4	3.961129451298489	1.648671448402063	0.45390923964841995	2.3058485067772345	282.17713742699135	0.15425391665086985	0.10921390139637077	0.32320383193711616	0.6749266177743286	0.37565881266927953	1.4829572824055526	0.09756819969727698	16.158337509983152	16.037808615074812	0.007515296996065156
pampas_argentina	temperate_grassland	4.703417732597781	2.0927164625661083	0.8629524011853376	2.4367104378493676	291.02935231318236	0.1870963913658365	0.10999534553267414	0.35443154345430244	0.9195326883630001	0.4173410618016763	1.8012832783979973	0.11785521226483534	15.182205129548544	15.14825208817394	0.002241383439948849
california_vaira	mediterranean	2.913600864320677	1.113240594517048	0.6346014546857672	0.8240628300687889	280.15628676075744	0.1557132509651959	0.08523202656013291	0.30131633062028124	0.6105725081617548	0.36179113815033104	1.358894443498154	0.3950264951224889	19.857186866004746	19.873120265589765	-0.0008017563106387645
iberia	mediterranean	4.436896422659635	1.833993765458378	0.6448174425776196	2.0329524500430876	287.3540806900608	0.1791142660057376	0.10603819185199592	0.37866792192566295	0.8192814223721088	0.4481407270670068	1.7521427516508972	0.26954483941941093	17.58331922312752	17.493435011731542	0.00513816819485143
central_siberia	boreal_forest	1.1701242244202246	0.38540766196212356	0.31604207033537174	0.7153862015293163	264.6832728828889	0.17061225453662657	0.04392675449779608	0.10348028955974028	0.16640020987724888	0.11997567672897022	0.43378910990771935	0.11453651215109244	31.28773597125287	31.421494962333362	-0.004256926388793243
canada_boreal	boreal_forest	1.9894821189311014	0.6950015866158575	0.5924060088525245	1.2400537510910263	269.5995446137392	0.1475211598292317	0.06911882870816698	0.18027193539570652	0.31965434176693447	0.211371413561183	0.7803812631231549	0.07446581416042476	24.191155247651373	24.410712195412753	-0.008994286852582634
fennoscandia	boreal_forest	2.6261305774669754	0.8811369468229444	0.5289558500212713	1.2252148940615115	275.9096640446148	0.23540228209719982	0.08900832933451301	0.23536247135112434	0.40256447790964384	0.27238040338987907	0.9993284394187967	0.0878073782341286	26.129842572174567	26.283964691988352	-0.005863731808343317
alaska_north_slope	tundra	0.48751810284711034	0.15001007922911538	0.0	0.13560528906191047	262.1980780200228	0.8428277124096717	0.012919284367235067	0.04473331071104768	0.07087070882870831	0.04987813144717396	0.17840302109205058	0.8569311241389902	87.35212241727993	87.32274374513261	0.00033643780402805304
