site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC
amazon_central	tropical_rainforest	7.99516559458033	3.739151246591486	1.8875859538629354	4.2969654196569	298.1871065129348	0.3738852492066506
congo_basin	tropical_rainforest	8.52635518396489	3.9332118382191372	1.6900788961107973	4.627207202651015	297.4574749117992	0.3273645876363053
borneo	tropical_rainforest	7.46987506232953	3.590413911422963	0.9264894583858814	3.9839924530025304	299.0861476939885	0.4608658904937363
sahel	tropical_savanna_C4	0.0	0.8131940552404161	0.5623881385573576	0.0	300.44114150375617	0.08928177580409434
cerrado_brazil	tropical_savanna_C4	5.169634254354043	2.6113378140907804	1.7440803768516808	3.054740403426909	297.8086465199788	0.2656813182163934
n_australia_savanna	tropical_savanna_C4	7.831373118752752	3.8066438008205274	1.0772588939292915	4.523833027672479	299.71058603714073	0.3025209576464859
sahara	desert	0.0	0.8125628885082256	0.0727777429137821	0.0	296.0542539898815	0.07753496091324989
arabian	desert	0.0	0.8125616630164332	0.10724352627451073	0.0	299.50512702608376	0.07819541301440507
mojave_sw_us	desert	1.624165915160389	1.2793291974380525	0.1711406423622826	0.21714654087793442	280.79522078675643	0.1470411651843866
ozark_us	temperate_deciduous_forest	4.689519580623127	2.3767137051872536	0.5417966551520762	2.521523588120264	282.48725872352475	0.2021134557217065
central_europe	temperate_deciduous_forest	5.146260796229305	2.4667965467579327	0.5512063933002639	2.22981668001423	282.4358264422808	0.3731591717614626
ne_china	temperate_deciduous_forest	3.1638127543311887	1.820502262492413	0.5137325872661415	1.6609841140180654	275.74096140835456	0.1635748448775123
us_great_plains	temperate_grassland_C4	3.961129451298489	2.127590252407456	0.4557189767703316	2.3058485067772345	282.17713742699135	0.15425391665086985
pampas_argentina	temperate_grassland	4.703417732597781	2.380582664198405	0.8822071055236658	2.4367104378493676	291.02935231318236	0.1870963913658365
california_vaira	mediterranean	2.913600864320677	1.698812422388459	0.6420011356842588	0.8240628300687889	280.15628676075744	0.1557132509651959
iberia	mediterranean	4.436896422659635	2.2183298829928964	0.6500113274716774	2.0329524500430876	287.3540806900608	0.1791142660057376
central_siberia	boreal_forest	1.1701242244202246	1.1374177650101784	0.31649830067474455	0.7153862015293163	264.6832728828889	0.17061225453662657
canada_boreal	boreal_forest	1.9894821189311014	1.4058587971895409	0.5980275044862837	1.2400537510910263	269.5995446137392	0.1475211598292317
fennoscandia	boreal_forest	2.6261305774669754	1.599906375899105	0.530591148614657	1.2252148940615115	275.9096640446148	0.23540228209719982
alaska_north_slope	tundra	0.48751810284711034	0.9335104188592022	0.0	0.13560528906191047	262.1980780200228	0.8428277124096717
