site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC
amazon_central	tropical_rainforest	8.161508907738863	3.8062641007193183	1.8675062747455047	4.79078410037018	298.1871065129348	0.3781699669509238
congo_basin	tropical_rainforest	8.710109295327815	4.005405176597043	1.688353782406592	5.156401959562513	297.4574749117992	0.3305171656187453
borneo	tropical_rainforest	7.435581688067897	3.5775797865744705	0.9233763832587227	4.089097929920754	299.0861476939885	0.46105157428703614
sahel	tropical_savanna_C4	1.201170015375749	1.094000056941053	0.5525601986339952	0.36580584501845087	300.44114150375617	0.08799000175155726
cerrado_brazil	tropical_savanna_C4	3.7676020537184556	2.0825531664837675	1.7647254262787329	1.6004035432787944	297.8086465199788	0.26251010131441377
n_australia_savanna	tropical_savanna_C4	4.4176326784940825	2.200555512522867	1.117168661064902	1.1692023643804517	299.71058603714073	0.28997254251033044
sahara	desert	0.0	0.8125655055802692	0.0727777429137821	0.0	296.0542539898815	0.07753496091324989
arabian	desert	0.0	0.8125655421377745	0.10724352627451073	0.0	299.50512702608376	0.07819541301440507
mojave_sw_us	desert	1.0409579196317762	1.0657485029839682	0.17129966988333453	0.16052328321688203	280.79522078675643	0.14890250277746425
ozark_us	temperate_deciduous_forest	3.2543467421380763	1.8437017169982697	0.5610844350972785	1.1183950426285147	282.48725872352475	0.20334250511575197
central_europe	temperate_deciduous_forest	4.940376627037964	2.375273809162836	0.5728546153802142	1.8297594887756363	282.4358264422808	0.3729607273824504
ne_china	temperate_deciduous_forest	1.5261021563093728	1.260436857281157	0.5273546310071209	0.6642443882633307	275.74096140835456	0.16583104160041992
us_great_plains	temperate_grassland_C4	2.082355179841042	1.4456181116005258	0.5172877191765326	0.6597372888254851	282.17713742699135	0.1648347807436453
pampas_argentina	temperate_grassland	3.1040444695561735	1.8022683754332927	0.9699239803626274	1.0342531282076715	291.02935231318236	0.1928029442661605
california_vaira	mediterranean	3.832711029091835	2.000281620053921	0.5845721036612143	1.743962679663701	280.15628676075744	0.14238844108125487
iberia	mediterranean	2.5785918031141195	1.5836299507437424	0.7646357708714205	0.7415878111726288	287.3540806900608	0.1967373397820491
central_siberia	boreal_forest	1.6065361782175351	1.2740032312745053	0.3151509004097907	1.2849828034709336	264.6832728828889	0.1753948750925161
canada_boreal	boreal_forest	1.3722843032457235	1.1995098570267198	0.6189234820726737	0.7091829639603342	269.5995446137392	0.14634424633095225
fennoscandia	boreal_forest	2.8349292005877804	1.663038997400851	0.6042763778205495	1.322096371766475	275.9096640446148	0.23473426711800804
alaska_north_slope	tundra	0.9770658963105195	1.0680031911165246	0.0	0.3993899679566183	262.1980780200228	0.8545923148642709
