site	biome	GPP_gC_m2_day	Ra_gC_m2_day	Rh_gC_m2_day	LAI	Tair_K	SWC	C_sugar	C_leaf	C_stem	C_root	cVeg	sigma_l_implied
amazon_central	tropical_rainforest	7.99516559458033	3.739151246591486	1.8875859538629354	4.2969654196569	298.1871065129348	0.3738852492066506	0.16054347983057035	0.49537275165881045	1.1880410349532562	0.5705628263935857	2.414472021995637	0.10571754008402479
congo_basin	tropical_rainforest	8.52635518396489	3.9332118382191372	1.6900788961107973	4.627207202651015	297.4574749117992	0.3273645876363053	0.15930695539292428	0.5321198977116701	1.2914320989330812	0.6148615997194364	2.597747006730607	0.11299287109055738
borneo	tropical_rainforest	7.46987506232953	3.590413911422963	0.9264894583858814	3.9839924530025304	299.0861476939885	0.4608658904937363	0.1392271703276573	0.4482715354415055	1.070297118926904	0.5157139328763027	2.173533581315124	0.11017843976184417
sahel	tropical_savanna_C4	0.0	0.8131940552404161	0.5623881385573576	0.0	300.44114150375617	0.08928177580409434	9.385085036059645e-5	0.02179019504475914	0.05057958332541189	0.03327065911629532	0.10573481737495748	9.81352478383544e13
cerrado_brazil	tropical_savanna_C4	5.169634254354043	2.6113378140907804	1.7440803768516808	3.054740403426909	297.8086465199788	0.2656813182163934	0.10022617368458517	0.34711623903326316	0.8379966433046243	0.4013678230966828	1.6866983641149762	0.14188020452265632
n_australia_savanna	tropical_savanna_C4	7.831373118752752	3.8066438008205274	1.0772588939292915	4.523833027672479	299.71058603714073	0.3025209576464859	0.13485437367035916	0.45202208850102527	1.050845641180776	0.5185242704371806	2.156271842406809	0.11950256854145148
sahara	desert	0.0	0.8125628885082256	0.0727777429137821	0.0	296.0542539898815	0.07753496091324989	0.0	0.0	0.0	0.0	0.0	0.0
arabian	desert	0.0	0.8125616630164332	0.10724352627451073	0.0	299.50512702608376	0.07819541301440507	0.0	0.0	0.0	0.0	0.0	0.0
mojave_sw_us	desert	1.624165915160389	1.2793291974380525	0.1711406423622826	0.21714654087793442	280.79522078675643	0.1470411651843866	0.039619451492229035	0.1279156367881433	0.19015577163174233	0.15253370947238376	0.5102103299286652	0.4903373582042315
ozark_us	temperate_deciduous_forest	4.689519580623127	2.3767137051872536	0.5417966551520762	2.521523588120264	282.48725872352475	0.2021134557217065	0.1242262278093113	0.3786595997173595	0.8027066884819422	0.4322373876060329	1.737819709114215	0.08795324414324836
central_europe	temperate_deciduous_forest	5.146260796229305	2.4667965467579327	0.5512063933002639	2.22981668001423	282.4358264422808	0.3731591717614626	0.1548880763315839	0.4484543224436922	0.8753324714188707	0.5094991367673961	1.98819735670534	0.10460160976010727
ne_china	temperate_deciduous_forest	3.1638127543311887	1.820502262492413	0.5137325872661415	1.6609841140180654	275.74096140835456	0.1635748448775123	0.09817835393480194	0.27837064795622796	0.5254793080210888	0.3315454150846116	1.2335876677458413	0.09575958230636854
us_great_plains	temperate_grassland_C4	3.961129451298489	2.127590252407456	0.4557189767703316	2.3058485067772345	282.17713742699135	0.15425391665086985	0.10921390139637077	0.32320383193711616	0.6749266177743286	0.37565881266927953	1.4829572824055526	0.09756819969727698
pampas_argentina	temperate_grassland	4.703417732597781	2.380582664198405	0.8822071055236658	2.4367104378493676	291.02935231318236	0.1870963913658365	0.10999327810584782	0.3544323291356148	0.9194422287207953	0.417342027478382	1.8011925026489821	0.11785547351916892
california_vaira	mediterranean	2.913600864320677	1.698812422388459	0.6420011356842588	0.8240628300687889	280.15628676075744	0.1557132509651959	0.08523202656013291	0.30131633062028124	0.6105725081617548	0.36179113815033104	1.358894443498154	0.3950264951224889
iberia	mediterranean	4.436896422659635	2.2183298829928964	0.6500113274716774	2.0329524500430876	287.3540806900608	0.1791142660057376	0.10603819185199592	0.37866792192566295	0.8192814223721088	0.4481407270670068	1.7521427516508972	0.26954483941941093
central_siberia	boreal_forest	1.1701242244202246	1.1374177650101784	0.31649830067474455	0.7153862015293163	264.6832728828889	0.17061225453662657	0.043801406814331874	0.10350919839486569	0.1638815059671649	0.1200077709204206	0.4312061173580194	0.11456850975334308
canada_boreal	boreal_forest	1.9894821189311014	1.4058587971895409	0.5980275044862837	1.2400537510910263	269.5995446137392	0.1475211598292317	0.06895946963181503	0.180308744471026	0.3159341351824755	0.21141229214158982	0.7765794543363986	0.07448101915377817
fennoscandia	boreal_forest	2.6261305774669754	1.599906375899105	0.530591148614657	1.2252148940615115	275.9096640446148	0.23540228209719982	0.08886216629836538	0.2353952990431044	0.3989705558452107	0.2724169531175014	0.9956577983622575	0.08781962551989585
alaska_north_slope	tundra	0.48751810284711034	0.9335104188592022	0.0	0.13560528906191047	262.1980780200228	0.8428277124096717	0.012876414777198187	0.044743081300328294	0.0700079969995941	0.04988859200170518	0.17751769475519286	0.8571182988146854
